지원금명,상태,카테고리,지역,신청기간,지원내용,상세URL
봄축제 맞이 안동 관광택시 요금할인 이벤트,마감,할인/혜택,경북,2024년 3월 25일 ~ 2024년 12월 31일,"관광택시 5만원 할인(승용 10만→5만원, 승합 20만→15만원) + 리뷰 참여 시 웰컴키트",https://www.masil.io/programs/00edc226-6633-49fb-836c-9a85682bcb13
전북청년 마을만들기 프로그램,마감,한달살기,전북,2024년 6월 3일 ~ 2024년 6월 14일,4박 5일 농촌체험·지역 프로그램 제공,https://www.masil.io/programs/069138a4-df00-4ea9-b9a7-8fd6a374a460
2024년 수목원정원 스탬프 투어,마감,미션,전국,2024년 1월 1일 ~ 2024년 12월 31일,스탬프 달성 시 반려식물 교육키트·자생식물 기념주화 등 기념품 제공,https://www.masil.io/programs/45776f0d-5009-4f04-8134-1385f21181f7
포항시티투어,마감,투어/체험,경북 포항시,2024년 1월 1일 ~ 2024년 12월 31일,"시티투어 이용요금: 종일코스 성인 6,000원, 청소년·수급자·장애인·유공자·경로우대 4,000원",https://www.masil.io/programs/d5b7bac9-9b9e-4753-8e46-4fdf7a059d7d
"[2024 여행가는달] 6월 숨은 여행 찾기, 로컬 재발견",마감,한달살기,전국,2024년 6월 1일 ~ 2024년 7월 14일,"KTX 주중 최대 50%·주말 최대 30%, 관광열차 최대 50%, 내일로패스 1만원 할인",https://www.masil.io/programs/10f393b5-0183-4af2-811d-86956742d371
자연특별시 괴산 일단 살아보기 (1차),마감,살아보기,충북,2024년 5월 28일 ~ 2024년 7월 31일,숙박 팀당 1일 7만원 + 체험 1인 1일 최대 2만원 + 여행자보험 1인 2만원,https://www.masil.io/programs/a09213b5-af73-415c-95df-931c2c8194ee
제1회 거북섬 달콤축제 해양레저 체험 프로그램 접수,마감,한달살기,경기,2024년 5월 18일 ~ 2024년 5월 18일,카약·바나나보트·요트·보트 무료 체험,https://www.masil.io/programs/c5ccdfbb-a54d-4eb1-82af-bf7559337dc1
`광양에서 행복 찾기` 외국인 숲속 힐링 체험행사,마감,한달살기,전남 광양시,2024년 6월 15일 ~ 2024년 6월 15일,참가비 무료 + 산림욕·명상·아로마테라피·족욕·풍물놀이 등 프로그램 제공,https://www.masil.io/programs/1c5af4d5-69d0-4a9a-908d-1740c3aa2912
[대한항공 이벤트] 누구나 꿈꾸는 여행지 튀르키예🪂 항공 10% 할인,마감,할인/혜택,해외(튀르키예),2024.05.20 ~ 2024.07.21,대한항공 튀르키예 노선 항공권 10% 할인,https://www.masil.io/programs/a7c6db1c-ed2d-46aa-8df6-053567e67f1a
낙동강따라 자연관광 모바일스탬프투어,마감,미션,부산·경남 양산시·김해시,2024년 6월 1일 ~ 2024년 11월 30일,스탬프 미션 달성 시 1인당 최대 4만원 모바일상품권,https://www.masil.io/programs/87cd2c3b-ca3f-4a4d-b385-bc30a89935c1
2024 삶의 경로 탐색 프로젝트 괴산어때 한달살기 1기,마감,살아보기,충북,2024년 6월 11일 ~ 2024년 7월 4일,숙박·중식·여행자보험 제공 + 활동비 30만원(참가비 5만원),https://www.masil.io/programs/37d9e6c5-326d-4409-84fe-e0fb1040fdf7
"[2024 여행가는달] 6월 숨은 여행 찾기, 로컬 재발견 (항공)",마감,한달살기,전국,2024년 6월 11일 ~ 2024년 7월 14일,"1. 항공운임 20,000원 할인",https://www.masil.io/programs/332dc19f-ca65-4d6f-948f-3638ad6496ca
300만원 SOL게요! 신한 SOL트래블 해외원정대,마감,한달살기,해외,2024년 7월 1일 ~ 2024년 8월 31일,1인 200만원 해외여행 경비 + 우수 미션 수행 시 100만원 추가(최대 300만원) + 굿즈,https://www.masil.io/programs/a87d15f9-f4d0-409a-9806-da3473c97f46
2024 전남 관광취약계층 행복여행활동 지원사업 신청자 추가모집,마감,한달살기,전남,2024년 5월 27일 ~ 2024년 12월 31일,"장애인·저소득층 대상 전남 도내 당일 여행상품 지원, 일부 대상 동행 1인 추가 지원",https://www.masil.io/programs/46245c6d-4c43-454f-938b-2d328abbeee7
수험생 할인 받아 경북 여행가자,마감,할인/혜택,경북,2023년 11월 16일 ~ 2024년 2월 29일,"경주엑스포 입장 무료, 경주월드 50%, 청도 레일바이크 30%, 군파크루지 최대 50% 할인",https://www.masil.io/programs/9080625e-c84d-4e3c-b259-9a4c218e6079
2023 이주환대프로젝트 '강릉 살아보기',마감,살아보기,강원 강릉시,2023년 12월 1일 ~ 2023년 12월 15일,체류 숙소 제공 + 강릉 생활 프로그램 체험비·입장료 지원,https://www.masil.io/programs/4571aebc-1048-41da-b7f7-7239d4f58aec
2023년 전라남도 행복여행 지원사업,마감,한달살기,전남 완도군,2023년 12월 2일 ~ 2023년 12월 24일,"1박2일 여행상품 자부담 없이 지원(저소득층 본인 최대 35만원, 장애인 본인 35만원·동행 23만원 이내)",https://www.masil.io/programs/8ac2d33f-eb54-495b-bbfe-c1412e8d3a13
2023년 동구 관광객 인센티브 지원사업,마감,한달살기,울산,2023년 9월 26일 ~ 2023년 12월 31일,"단체 당일 1인 1만원·숙박 4만원, 개별 당일 1인 2만원·숙박 4만원 인센티브",https://www.masil.io/programs/2df1ed08-2873-49df-9091-d67134956300
2023년 광주 북구 개별관광객 인센티브 지원사업,마감,한달살기,광주,2023년 11월 20일 ~ 2023년 12월 31일,"당일 1인 2만원(팀 최대 10만원), 숙박 1인 3만원(팀 최대 15만원)",https://www.masil.io/programs/8451adf0-2c83-4c46-8976-daf4084b97c4
문화관광해설사와 함께하는 스탬프 투어,마감,미션,광주,2023년 11월 16일 ~ 2023년 11월 30일,스탬프투어 참여 및 설문 완료 시 편의점 쿠폰 경품 제공,https://www.masil.io/programs/c0de62b2-d0a7-437a-828e-3716c29e7d8f
일과 휴식 - 평창 워케이션,마감,워케이션,강원 평창군,2023년 11월 17일 ~ 2023년 12월 17일,평창 1박2일 숙박+지정 체험 참여 시 1인 활동비 5만원 지원,https://www.masil.io/programs/09d6b523-4927-4ac4-b9e2-6ef75d55bdfe
제주 민간형 워케이션 참여하기(2차모집),마감,워케이션,제주,2023년 10월 6일 ~ 2023년 12월 15일,오피스·숙박 바우처 1인 1일 3만원(최대 14일) + 여가프로그램 1인 주 5만원(최대 2회),https://www.masil.io/programs/7941aeee-5e78-497a-bcbb-f4f65ffd3f59
의성국가지질공원 모바일 스탬프투어,마감,미션,경북 의성군,2023년 11월 15일 ~ 2023년 12월 25일,"스탬프 수에 따라 스타벅스·맘스터치·BBQ 기프티콘, 후기 이벤트 의성사과즙 경품",https://www.masil.io/programs/7833e743-641e-4b97-bda0-d8726a4af6b0
2024년 영주시 SNS 홍보단,마감,서포터즈,경북 영주시,2023.11.15 ~ 2023.12.04,"채택 원고 원고료 지급 + 팸투어 및 행사 실비 지원, 우수활동자 표창",https://www.masil.io/programs/06f5f6a5-7e70-4550-b4a3-68008d3e9574
김해 원도심 도보투어 체험단,마감,투어/체험,경남 김해시,2023년 11월 28일 ~ 2023년 11월 28일,소정의 사례비 + 체험쿠폰·기념품·여행자보험 제공,https://www.masil.io/programs/3c769558-7d6f-4e85-833c-a07f13bf9dfb
경북 웰니스 팸투어,마감,투어/체험,경북,2023년 11월 25일 ~ 2023년 12월 10일,경북 웰니스 관광지 팸투어 프로그램 참가 지원 (웰니스 관광 체험 및 팸투어 일정 운영),https://www.masil.io/programs/d6e07623-ea0c-41fb-abd0-ad570a50aee3
도시청년 하동에서 살아보기,마감,살아보기,경남 하동군,2023년 11월 27일 ~ 2023년 12월 11일,숙박 + 1일 2식 + 이동 차량 + 체험·강의 무료 제공,https://www.masil.io/programs/6ffa2ec8-3b07-49a9-b7c7-cfbfc10b6183
대만 여행지원금,마감,한달살기,해외(대만),2023년 5월 1일 ~ 2025년 6월 30일,"5,000 NTD(약 20만원) 전자바우처 또는 숙박 할인쿠폰(추첨)",https://www.masil.io/programs/f1ebec63-75dc-4bd9-93ef-81280ee508d2
2023년 「나눔의 숲 캠프」,마감,투어/체험,강원,2023년 11월 17일 ~ 2023년 12월 1일,숲 프로그램 2종 + 1박 숙박 + 식사 2식 제공,https://www.masil.io/programs/2aeacad6-f927-485e-b9aa-207b5effae6f
2023년 진안군 알뜰관광 지원사업(4차),마감,한달살기,전북,2023년 11월 15일 ~ 2023년 12월 11일,관내 지출·SNS 인증 조건에 따라 5만원·10만원·15만원 지원,https://www.masil.io/programs/b1b405ea-9dcf-499c-ace7-7df51d4f1932
제11차 농도상생 체험투어(칠산서부편/클라우드베리&행복한이동네협동조합),마감,투어/체험,경남 김해시,2023년 11월 25일 ~ 2023년 11월 25일,"점심식사·체험 프로그램 제공(참가비 성인 2만원, 아동 1만원, 36개월 미만 무료)",https://www.masil.io/programs/605918ce-0c2c-47e3-8aa3-08f48d3a8c6f
"경남에서 한 달 여행하기 사업 ‘Wellnessmate, 산청’ (4차)",마감,살아보기,경남 산청군,2023년 11월 15일 ~ 2023년 12월 15일,"숙박비 1일 50,000원",https://www.masil.io/programs/931bf7f1-6658-4555-9f33-0348f7117d58
Time To Travel 문경,마감,한달살기,경북 문경시,2023년 11월 18일 ~ 2023년 11월 18일,"입장·체험비, 교통, 식사·다과, 여행자보험, 가이드, 취·창업 컨설팅 제공",https://www.masil.io/programs/5c161803-6f65-4604-bb2d-8a39745ad5c6
서천 청년농부와 함께하는 '웰니스 팜케이션',마감,한달살기,충남,2023년 11월 18일 ~ 2023년 11월 19일,"1박2일 프로그램 전액 지원(무료 참가, 노쇼 방지 예약금 20,000원은 일정 종료 후 환급)",https://www.masil.io/programs/54078105-71fa-4e8e-9af1-0cdee6129bac
지역 여행 연계 수산식품 소비촉진 기획전,마감,한달살기,경남,2023년 11월 ~ 2023년 12월 31일(매주 금·토요일),"전통시장에서 수산식품 구매 시 지역 관광·숙박업소에서 1인당 최대 50,000원 할인 쿠폰 제공",https://www.masil.io/programs/7b1c08b2-3258-4d5a-b725-690af49e7db3
세컨하우스 살아보기 시범운영 참가자 모집 공고,마감,살아보기,전북,2023년 12월 4일 ~ 2023년 12월 30일,세컨하우스 이용(사용료 1박 5만원),https://www.masil.io/programs/ee38160a-2fe4-4309-81d1-1f714e13a65f
2023년 우리가족행복캠프 3기,마감,투어/체험,경기,2023년 11월 18일 ~ 2023년 11월 19일,참가비 무료 + 숙소·식사·프로그램 제공,https://www.masil.io/programs/e3666121-7239-460f-beca-64b743c3c2d8
2023 경남 미식여행 50% 할인 프로모션,마감,할인/혜택,경남,2023년 11월 1일 ~ 2023년 12월 15일,"50% 할인 (최대금액 30,000원, 결제 시 자동 적용)",https://www.masil.io/programs/7a6da50d-2f9d-46da-80ee-7d73e9d57758
디지털 관광주민증 (하동군),마감,할인/혜택,경남 하동군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/62c64d25-fdae-47ce-be03-f341437cd981
디지털 관광주민증 (남원시),마감,할인/혜택,전북 남원시,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/ed097a2b-6973-4c6a-b4b8-853d88c452c9
디지털 관광주민증 (제천시),마감,할인/혜택,충북 제천시,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/6ec0e2eb-157d-46d9-a1ed-3aa7bdc6130a
디지털 관광주민증 (연천군),마감,할인/혜택,경기 연천군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/a2122f8b-9f5d-4301-a4be-2daaea30f132
서천 미션투어,마감,미션,충남,2023년 11월 6일 ~ 2023년 11월 24일,"미션 완료 시 1인당 50,000원, 최대 4인 200,000원 여행경비 지원",https://www.masil.io/programs/2154fc61-d466-43de-977f-03ceca30be2a
2024 인천 관광 콘텐츠 취재원,마감,서포터즈,인천광역시,2024.01.05 ~ 2024.01.31,"콘텐츠당 10~15만원 취재비, 실비 발생 시 별도 협의",https://www.masil.io/programs/abf8fb8e-1a04-4f28-b769-79972aada0c2
2024 문경시 SNS 서포터즈,마감,서포터즈,경북 문경시,2024.01.05 ~ 2024.01.21,원고료 지급 + 팸투어 등 활동비 지원,https://www.masil.io/programs/c9311a28-ddfa-4071-9d09-b39742ead3ad
겨울기차여행 KTX무브 특별할인혜택,마감,할인/혜택,전국,2023.12.08 ~ 2024.01.31,KTX 최대 10% 선할인 + 연계교통상품 추가 할인 + 무브 이용금액권 증정,https://www.masil.io/programs/6ca6dc90-a67c-40c3-9aee-846310f730a2
"부산, 워케이션",마감,워케이션,부산광역시,2023년 12월 13일 ~ 2024년 6월 30일,"숙박 1박 5만원 할인(5~10박), 전용 사무공간 무료, 5만원 관광바우처, 웰컴키트 제공",https://www.masil.io/programs/28ed8fa6-8745-4463-a739-116086cf3cb7
2024년 순창군 개별관광객 숙박비 및 체험비 지원사업,마감,한달살기,전북,2024년 1월 5일 ~ 2024년 12월 31일,체험비 50% 이내(1인 최대 1만원) + 숙박비 1박당 1인 최대 1만원,https://www.masil.io/programs/45498126-2f92-446d-b99d-23da55e5f018
부안관광 SNS 홍보단,마감,서포터즈,전북,2024년 2월 1일 ~ 2024년 12월 31일,매월 제작·홍보 실적에 따른 활동비 + 취재 시 유료관광시설 무료입장 + 팸투어 참여 기회,https://www.masil.io/programs/2ada8ade-f5f9-4ee1-8d52-1b5d6dab99d7
「겨울 진안 낭만 스테이」,마감,한달살기,전북,2024년 1월 13일 ~ 2024년 2월 29일,관내 지출·SNS 인증 조건에 따라 5만원·10만원·15만원 여행지원비 지급,https://www.masil.io/programs/64e5d2d0-f461-4e81-85d5-cfb907dc9210
2024 울주 블로그 기자단,마감,서포터즈,울산,2024년 1월 1일 ~ 2024년 12월 31일,"채택 콘텐츠 원고료 1건 5만원, 월 1~3건",https://www.masil.io/programs/fa227483-77d0-4e07-948f-53aad38042e8
2024년 영월 귀농귀촌 동네작가 모집,마감,귀농/귀촌,강원 영월군,2024년 2월 1일 ~ 2024년 11월 30일,"콘텐츠 1건 5만원, 동영상 1건 10만원(월 최대 15만원)",https://www.masil.io/programs/9fc10f1e-279f-4968-8005-eae945b396ad
제13기 하동군 SNS 기자단,마감,서포터즈,경남 하동군,2024.01.02 ~ 2024.01.15,콘텐츠 원고료 지급(1인 월 최대 14만원) + 위촉장·기자증·역량강화 교육,https://www.masil.io/programs/608c0c20-f36e-46ea-b761-b85a62172182
2024 남원시 블로그 기자단,마감,서포터즈,전북 남원시,2024.01.04 ~ 2024.01.14,"개인 블로그 및 남원시 블로그에 게시된 기사에 한해 소정의 원고료 지급(1건당 50,000원, 월 2건)",https://www.masil.io/programs/10c3d4d8-45fc-4ff9-94c6-d1eab1363e3f
2024년 '여행할 때 곡성어때' 인센티브 지원사업,마감,한달살기,전남,2024년 1월 1일 ~ 2024년 12월 31일,"체험상품비 50%(1인·1일 최대 50,000원), 숙박비 객실당 30,000원, 버스임차비 대당·1일 300,000원 지원",https://www.masil.io/programs/b04287d8-3227-4b74-add6-cdc1d80df657
2024 제2차 경춘선 낭만과 추억 여행 지원 프로그램,마감,한달살기,경기·강원,2024년 2월 1일 ~ 2024년 3월 15일,"신청 단체별 여행경비 200,000원 지원",https://www.masil.io/programs/d2a70456-76f0-48d0-ae48-45092f9139ba
신년맞이 섬진강기차마을 증기기관차·레일바이크 할인,마감,할인/혜택,전남,2024년 1월 10일 ~ 2024년 3월 31일,"증기기관차+레일바이크 묶음상품 할인(최대 50%), 기차마을 입장료 50%·가정역 카페 20% 추가 할인",https://www.masil.io/programs/cfb2bba7-9d19-4f3b-a71f-5fefd7d512f6
세종특별자치시 제12기 블로그 기자단,마감,서포터즈,세종,2024년 2월 1일 ~ 2024년 12월 31일,"기사 원고료: 블로그 3·5·7만원, 번역 1~5만원 + 우수활동 포상",https://www.masil.io/programs/a8e16549-e922-43c8-befc-e8062bcea7c3
2024 강진 반값 여행 (2월),마감,한달살기,전남 강진군,2024년 2월 9일 ~ 2024년 3월 10일,"강진 여행비용의 50%를 강진사랑상품권으로 지급(가족당 소비액에 따라 최대 200,000원)",https://www.masil.io/programs/35eec898-0d43-4c0e-89b4-31b19b0120ec
2024년 남해군 관광객 유치 인센티브 지원사업,마감,한달살기,경남 남해군,2024년 1월 15일 ~ 2024년 12월 31일,지원기준 충족 시 서류심사 후 관광객 유치 인센티브 지급,https://www.masil.io/programs/17e82395-0865-4542-8e26-c904ab9efa8d
"(2024 전남형 청년마을 만들기 프로그램) '일상, 쉼'",마감,한달살기,전남 보성군,2024년 1월 27일 ~ 2024년 1월 28일,"참여비 전액 지원(노쇼 예방비 30,000원 선입금)",https://www.masil.io/programs/bdbfbd61-28de-4afb-89d1-ae224e67446b
2024년 광주 북구 개별관광객 인센티브 지원사업,마감,한달살기,광주,2024년 1월 15일 ~ 2024년 12월 31일,지원기준을 충족한 1~5인 내·외국인 개별관광객에게 인센티브 지급,https://www.masil.io/programs/645d3414-a683-47e2-8343-6c3866e0e4ec
"'청년, 고흥 모여라!' 프로그램 참여자 모집",마감,한달살기,전남 고흥군,2024년 1월 31일 ~ 2024년 2월 2일,"2박3일 숙박·식비·체험 프로그램 지원(참가비 10,000원, 집결지까지 교통비 본인 부담)",https://www.masil.io/programs/63d80f34-a179-467e-90fb-dc5b3fde2d4e
【친구야! 놀러가자 사업】참가자 모집 공고,마감,한달살기,경남 고성군,2024년 2월 1일 ~ 2024년 12월 31일,"1인 최대 20만원 여행경비 실비지원(숙박 1일 7만원 이내, 식비 1식 8천원 이내, 교통·체험·입장료 실비)",https://www.masil.io/programs/fabd84c9-54c8-4265-904f-389fd50e500b
2024년 용인시 SNS 시민 서포터즈,마감,서포터즈,경기,2024년 3월 1일 ~ 2024년 12월 31일,채택 콘텐츠 원고료 + 우수 서포터즈 활동지원금 + 행사 참여 기회,https://www.masil.io/programs/71b08f00-4af9-4f3f-bbf5-db6902025c4b
제9기 행복도시 동해 SNS 서포터즈,마감,서포터즈,강원 동해시,2024년 2월 2일 ~ 2024년 12월 15일,원고료 등 활동보상 월 최대 20만원 + 우수 서포터즈 시상 가능,https://www.masil.io/programs/7c67fa0d-d63f-4002-90cf-3e19346cac51
2024년 강진군 귀농귀촌 동네작가 모집,마감,귀농/귀촌,전남 강진군,2024년 3월 1일 ~ 2024년 11월 30일,"콘텐츠 건당 30,000원 내외 (월 한도 제한)",https://www.masil.io/programs/7c0090c6-01f6-4b8d-b1e8-789e64764f94
상주 숨은여행찾기,마감,한달살기,경북,2023년 11월 24일 ~ 2023년 11월 26일,"최우수팀 40만원 상당 상품, 우수팀 20만원 상당 상품, 전원 기념품",https://www.masil.io/programs/cc806aea-df96-4b92-b244-807534e7b338
「사천에서 한 달 여행하기」 (3차) 추가 모집,마감,살아보기,경남 사천시,2023년 11월 15일 ~ 2023년 11월 30일,"- 숙박비 1일 50,000원",https://www.masil.io/programs/464096e3-a8ff-4285-94ef-a525b1ad8226
"야(夜)놀자, 여수진남상가 스탬프투어 행사",마감,미션,전남 여수시,2023년 11월 4일 ~ 2023년 11월 4일,"진남상가 당일 구매 영수증 지참 시 체험 프로그램 무료, 6개 스탬프 완료 시 선물 제공",https://www.masil.io/programs/4e7e384d-33c7-4401-93a7-89d4e44f9858
2023 목포시 「남도 숙박할인 BIG 이벤트」,마감,할인/혜택,전남 목포시,2023년 10월 30일 ~ 2023년 12월 15일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/f55ed788-6f09-4010-a8d7-93e47281b987
2023 보령 한달살이(겨울편),마감,살아보기,충남 보령시,2023년 11월 16일 ~ 2023년 12월 15일,"숙박비 1일 70,000원",https://www.masil.io/programs/358e12a2-7ea8-46c4-9060-e3c376c577a9
Team Deskless,마감,한달살기,강원,2023년 11월 1일 ~ 2023년 11월 30일,콘텐츠 제작비 50만원 + 숙소비 5만원 지원,https://www.masil.io/programs/0ed520d2-ffe4-46cb-a0b0-99ca02603590
경기북부 5박 6일 ESG로 살아보기,마감,살아보기,경기,2023년 11월 13일 ~ 2023년 11월 18일,참가비 무료(숙박·식사·여행자보험·프로그램 참가비 지원),https://www.masil.io/programs/91821644-8a1e-4a5d-ad3b-1504bef9416f
"「하동으로, 여행 가자!(경남에서 한 달 여행하기)」 (4차)",마감,살아보기,경남 하동군,2023년 10월 23일 ~ 2023년 12월 8일,"숙박비 1일 50,000원",https://www.masil.io/programs/a9d60a59-07fd-4a1d-97a1-ebe87893dc6d
서부산 랜드마크 스탬프 투어,마감,미션,부산광역시,2023.11.08 ~ 2023.11.26,"등급별 30만원·20만원·10만원 부산 호텔숙박권, 참여상 5천원 카페 이용권",https://www.masil.io/programs/e9cb9e07-57d3-44f5-ac1e-d0f6fef614e4
2023년 원도심 투어프로그램 5회차 「도시재생 티켓팅」,마감,투어/체험,경기,2023년 11월 25일 ~ 2023년 11월 25일,참가비 무료 + 도시재생 마을해설·투어버스 지원,https://www.masil.io/programs/5f5e0617-c179-4b8b-9d88-4ee4438b7eed
Time To Travel 경주,마감,한달살기,경북 경주시,2023년 12월 2일 ~ 2023년 12월 2일,"입장·체험비, 교통, 식사·다과, 여행자보험, 가이드, 취·창업 컨설팅 제공",https://www.masil.io/programs/b4028641-2c6e-4283-af84-7122f9d9dc14
동계시즌 춘천문화관광활성화를 위한 인플루언서 팸투어,마감,투어/체험,강원 춘천시,2023년 12월 16일 ~ 2023년 12월 17일,숙박·식사·체험비·입장료 등 지원,https://www.masil.io/programs/0b1263cc-6c2e-4d90-8063-daeb276d2795
태안으로 어케이션(漁케이션) - 어촌마을 살아보기,마감,귀농/귀촌,충남 태안군 남면,2023년 12월 11일 ~ 2023년 12월 15일,"4박 5일 어촌 체류 프로그램 제공 (어촌생활 체험, 지역 주민·업체 교류, 귀어·정착 관련 정보 체험)",https://www.masil.io/programs/3529fa9e-3fe5-4a2b-a303-07d781e73a07
지질공원해설사와 함께하는 지구시간여행! 스탬프투어,마감,미션,부산,2023년 11월 24일 ~ 2023년 12월 31일,해설 프로그램 참여 후 스탬프 수에 따라 기념품 증정,https://www.masil.io/programs/93ca3a8c-4d96-4a65-948a-bad20a9b207e
장흥군 행복여행활동 지원사업,마감,한달살기,전남 장흥군,2023년 3월 1일 ~ 2023년 12월 31일,관광취약계층 당일 여행상품 지원(장애인은 본인+동반자 1인 총 30만원 지원),https://www.masil.io/programs/fcf52f95-5569-4a3c-98e9-efdbdfaf8483
목포 SNS 여행 서포터즈,마감,서포터즈,전남 목포시,2023년 12월 7일 ~ 2023년 12월 8일,교통·식사·간식·숙박 등 100% 지원 + 기념품,https://www.masil.io/programs/508beb1d-7bca-4233-a33f-bf058e04f8ff
2024년 제7기 안동시 SNS기자단 모집,마감,서포터즈,경북,2024년 1월 1일 ~ 2024년 12월 31일,채택 기사 원고료(2023년 기준 건당 5만원) + 우수기사 인센티브 + 관광지 무료관람·행사 실비,https://www.masil.io/programs/8bf7efa2-e082-4254-b399-71d5d7a4add0
구미시 여행리포터즈,마감,한달살기,경북 구미시,2024년 1월 1일 ~ 2024년 12월 31일,소정의 활동비·콘텐츠 제공료 + 관광 축제·행사 참여 기회,https://www.masil.io/programs/543bc66c-5f21-41b0-ab80-592a3e81f253
예비귀어인 대상 어촌 살아보기,마감,살아보기,경남 통영시,2023.10.17 ~ 2023.11.10,통영 귀어 희망자 대상 어촌지역 임시 거주공간 제공 및 귀어 정착 지원,https://www.masil.io/programs/6ac1a6b6-19d3-4662-abe6-80d6ca88e517
2023 여수시「남도 숙박할인 BIG 이벤트」,마감,할인/혜택,전남 여수시,2023년 6월 19일 ~ 2023년 12월 15일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/90ec27a6-9bfa-4fb4-8db9-45db4208dc9d
일탈/함께+힐링= 하동 한 달 살기,마감,살아보기,경남 하동군,2023년 10월 4일 ~ 2023년 11월 29일,참가비 무료,https://www.masil.io/programs/7c4e5eeb-13c0-4e6d-8712-90e42baf78da
순천시 남도 숙박할인 BIG 이벤트,마감,할인/혜택,전남 순천시,2023.04.04 ~ 2023.12.10,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/ea040770-c7dc-4b55-bdca-87785c92e80f
비토썸 (사천),마감,한달살기,경남 사천시,2023년 7월 28일 ~ 2023년 12월 15일,"숙박 1박당 최대 5만원(최대 29박), 체험비 50%(최대 3종), 1인 2만원 쿠폰 지원",https://www.masil.io/programs/bcd7a205-11cf-40ac-8522-2659e754e560
디지털 관광주민증 (신안군),마감,할인/혜택,전남 신안군,상시 발급,무료 발급 + 지역 제휴처별 숙박·식음·관람·체험·쇼핑 등 할인/혜택,https://www.masil.io/programs/22567bd7-a3d5-4748-9b07-32ed5e1de304
나주 「2023년 남도 숙박할인 BIG 이벤트」,마감,할인/혜택,전남,2023년 6월 7일 ~ 2023년 12월 14일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/ae4bf5f3-b058-4c3e-af37-70f557085fba
2023 광양 남도 숙박할인 BIG 이벤트,마감,할인/혜택,전남 광양시,2023년 1월 18일 ~ 2023년 11월 30일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/ed64ef8c-51a2-4a2f-8583-8daf9480023f
2023 화순 남도 숙박할인 BIG이벤트,마감,할인/혜택,전남,2023년 6월 7일 ~ 2023년 12월 17일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/76d1b1a7-305e-41b2-8dea-600379d2e8a2
「2023년 장흥군 남도 숙박할인 BIG 이벤트」,마감,할인/혜택,전남,2023년 5월 1일 ~ 2023년 12월 20일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/e764b0c7-be43-4b5b-8a64-51253a10ab40
2023 영암 남도 숙박할인 BIG 이벤트,마감,할인/혜택,전남 영암군,2023년 4월 24일 ~ 2023년 12월 18일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/9bb53f87-a75e-4056-9bf6-b593a3295fcc
'2022~2023 전라남도 방문의 해' 완도군 남도 숙박할인 Big 이벤트,마감,할인/혜택,전남 완도군,2023년 5월 8일 ~ 2023년 12월 31일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/04f0e813-58b8-4da4-b40f-86e78c823e92
2023 진도 남도 숙박할인 BIG 이벤트,마감,할인/혜택,전남 진도군,2023년 8월 1일 ~ 2023년 12월 15일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/7e286db7-2298-419e-81ea-b2143864fccd
함평 「2023년 남도 숙박할인 BIG 이벤트」,마감,할인/혜택,전남 함평군,2023년 8월 1일 ~ 2023년 12월 5일,숙박 1박 기준 7만원 미만 2만원 / 7만원 이상 10만원 미만 3만원 / 10만원 이상 4만원 할인(통상 최대 10박),https://www.masil.io/programs/40e30fcc-8caa-42f6-b1ef-a3ec05dcbab2
